r_id,s_id,p_id
1,284,1
2,315,3
3,266,2
4,42,4
5,95,5
6,69,6
7,154,8
8,94,7
9,162,9
10,282,10
11,201,11
12,278,12
13,79,13
14,172,14
15,202,15
16,214,16
17,291,17
18,272,18
19,273,86
20,275,87
21,276,88
22,277,89
23,279,23
24,280,24
25,281,90
26,281,90
27,269,83
28,270,84
29,271,85
30,292,97
31,293,98
32,294,99
33,295,100
34,297,101
35,298,102
36,299,103
37,300,104
38,301,105
39,303,106
40,304,107
41,306,108
42,302,109
43,307,109
44,308,111
45,309,112
46,310,113
47,311,114
48,312,115
49,313,116
50,1,45
51,112,46
52,220,47
53,263,48
54,274,19
55,285,49
56,296,20
57,305,50
58,316,51
59,2,52
60,13,53
61,24,54
62,24,55
63,35,55
64,46,57
65,57,58
66,113,59
67,124,60
68,135,61
69,145,62
70,156,63
71,167,21
72,178,21
73,188,65
74,188,65
75,188,67
76,198,67
77,209,69
78,221,69
79,221,71
80,232,71
81,243,73
82,253,73
83,257,75
84,258,76
85,259,22
86,260,77
87,261,78
88,262,79
89,264,80
90,264,80
91,265,82
92,286,92
93,287,93
94,288,94
95,289,95
96,290,96
97,62,26
98,62,26
99,62,26
100,62,26
101,62,26
102,62,26
103,63,184
104,64,32
105,65,33
106,66,34
107,43,167
108,43,167
109,44,169
110,45,170
111,47,171
112,48,172
113,49,173
114,50,174
115,51,175
116,52,176
117,53,177
118,54,178
119,55,179
120,56,180
121,58,181
122,59,182
123,60,183
124,317,117
125,318,118
126,319,119
127,320,120
128,321,121
129,322,122
130,323,123
131,324,124
132,325,125
133,326,126
134,3,127
135,4,128
136,5,129
137,6,130
138,7,131
139,8,132
140,9,133
141,10,134
142,11,135
143,11,135
144,12,137
145,14,138
146,15,139
147,16,140
148,17,141
149,18,142
150,19,143
151,20,144
152,21,145
153,22,146
154,23,147
155,23,147
156,25,149
157,26,150
158,27,151
159,28,152
160,29,153
161,30,153
162,31,25
163,32,155
164,33,156
165,34,157
166,34,157
167,34,157
168,36,160
169,37,161
170,38,162
171,39,163
172,40,164
173,41,165
174,41,165
175,215,316
176,215,316
177,215,316
178,216,322
179,217,319
180,217,319
181,218,323
182,219,42
183,222,324
184,223,321
185,224,325
186,224,325
187,224,325
188,225,328
189,226,329
190,227,330
191,228,331
192,229,43
193,231,332
194,233,333
195,234,334
196,235,335
197,236,336
198,237,337
199,238,338
200,239,339
201,240,340
202,241,341
203,242,44
204,244,342
205,245,343
206,246,344
207,246,344
208,246,344
209,247,347
210,248,348
211,249,349
212,250,350
213,250,350
214,251,352
215,251,352
216,252,354
217,254,355
218,255,356
219,256,357
220,173,280
221,174,281
222,175,282
223,176,283
224,177,284
225,179,285
226,180,286
227,181,287
228,182,288
229,183,289
230,183,289
231,183,289
232,184,292
233,185,293
234,186,294
235,187,295
236,189,296
237,190,297
238,191,298
239,192,299
240,193,300
241,194,41
242,195,301
243,195,301
244,195,301
245,163,274
246,164,275
247,165,40
248,166,276
249,168,277
250,169,278
251,155,268
252,157,39
253,158,269
254,158,269
255,159,271
256,160,272
257,161,273
258,69,185
259,70,187
260,71,188
261,72,189
262,73,190
263,74,191
264,75,192
265,76,193
266,77,194
267,78,195
268,80,196
269,81,197
270,82,198
271,83,199
272,84,199
273,84,199
274,85,202
275,86,203
276,87,204
277,88,205
278,88,205
279,89,207
280,91,208
281,92,209
282,93,35
283,96,210
284,97,211
285,97,36
286,98,36
287,99,212
288,100,213
289,102,214
290,103,215
291,104,216
292,104,216
293,105,218
294,146,260
295,147,261
296,148,262
297,149,263
298,150,264
299,151,265
300,152,266
301,153,267
302,107,219
303,108,220
304,109,221
305,110,222
306,111,223
307,114,224
308,114,224
309,115,226
310,116,227
311,117,228
312,118,229
313,119,230
314,120,231
315,121,232
316,121,232
317,121,232
318,121,232
319,121,236
320,122,236
321,123,238
322,125,239
323,126,240
324,127,241
325,127,241
326,128,243
327,128,243
328,129,245
329,129,245
330,130,247
331,131,248
332,131,248
333,132,250
334,133,38
335,134,251
336,136,252
337,137,253
338,138,254
339,139,255
340,140,256
341,141,257
342,142,258
343,143,259
344,203,306
345,204,306
346,205,308
347,206,310
348,207,309
349,208,311
350,210,312
351,211,313
352,212,314
353,213,315
354,69,185
355,197,304
356,199,305
357,171,279
358,170,359
359,267,358
360,68,360
361,68,360
362,68,360
363,61,363
364,196,365
365,106,364
366,67,366
367,268,367
368,144,368
369,144,368
370,230,374
371,101,370
372,101,370
373,314,373
374,283,372
375,90,375
376,200,376
377,200,377
378,42,378
